"","name","label"
"345","r2mstat","r2mstat:w2 r marital status w/partners, filled"
"346","r3mstat","r3mstat:w3 r marital status w/partners, filled"
"347","r4mstat","r4mstat:w4 r marital status w/partners, filled"
"348","r5mstat","r5mstat:w5 r marital status w/partners, filled"
"349","r6mstat","r6mstat:w6 r marital status w/partners, filled"
"350","s1mstat","s1mstat:w1 s marital status w/partners, filled"
"351","s2mstat","s2mstat:w2 s marital status w/partners, filled"
"352","s3mstat","s3mstat:w3 s marital status w/partners, filled"
"353","s4mstat","s4mstat:w4 s marital status w/partners, filled"
"354","s5mstat","s5mstat:w5 s marital status w/partners, filled"
"355","s6mstat","s6mstat:w6 s marital status w/partners, filled"
"356","r1mpart","r1mpart:w1 r implied partnership status"
"357","r2mpart","r2mpart:w2 r implied partnership status"
"358","r3mpart","r3mpart:w3 r implied partnership status"
"359","r4mpart","r4mpart:w4 r implied partnership status"
"360","r5mpart","r5mpart:w5 r implied partnership status"
"361","r6mpart","r6mpart:w6 r implied partnership status"
"362","s1mpart","s1mpart:w1 s implied partnership status"
"363","s2mpart","s2mpart:w2 s implied partnership status"
"364","s3mpart","s3mpart:w3 s implied partnership status"
"365","s4mpart","s4mpart:w4 s implied partnership status"
"366","s5mpart","s5mpart:w5 s implied partnership status"
"367","s6mpart","s6mpart:w6 s implied partnership status"
"368","r1mstath","r1mstath:w1 r marital status"
"369","r2mstath","r2mstath:w2 r marital status"
"370","r3mstath","r3mstath:w3 r marital status"
"371","r4mstath","r4mstath:w4 r marital status"
"372","r5mstath","r5mstath:w5 r marital status"
"373","r6mstath","r6mstath:w6 r marital status"
"374","s1mstath","s1mstath:w1 s marital status"
"375","s2mstath","s2mstath:w2 s marital status"
"376","s3mstath","s3mstath:w3 s marital status"
"377","s4mstath","s4mstath:w4 s marital status"
"378","s5mstath","s5mstath:w5 s marital status"
"379","s6mstath","s6mstath:w6 s marital status"
"380","r1mstatf","r1mstatf:w1 r mstath-flag diff w/marhist"
"381","r2mstatf","r2mstatf:w2 r mstath-flag diff w/marhist"
"382","r3mstatf","r3mstatf:w3 r mstath-flag diff w/marhist"
"383","r4mstatf","r4mstatf:w4 r mstath-flag diff w/marhist"
"384","r5mstatf","r5mstatf:w5 r mstath-flag diff w/marhist"
"385","r6mstatf","r6mstatf:w6 r mstath-flag diff w/marhist"
"386","s1mstatf","s1mstatf:w1 s mstath-flag diff w/marhist"
"387","s2mstatf","s2mstatf:w2 s mstath-flag diff w/marhist"
"388","s3mstatf","s3mstatf:w3 s mstath-flag diff w/marhist"
"389","s4mstatf","s4mstatf:w4 s mstath-flag diff w/marhist"
"390","s5mstatf","s5mstatf:w5 s mstath-flag diff w/marhist"
"391","s6mstatf","s6mstatf:w6 s mstath-flag diff w/marhist"
"392","r1mrct","r1mrct:w1 r # marriages"
"393","r2mrct","r2mrct:w2 r # marriages"
"394","r3mrct","r3mrct:w3 r # marriages"
"395","r4mrct","r4mrct:w4 r # marriages"
"396","r5mrct","r5mrct:w5 r # marriages"
"397","r6mrct","r6mrct:w6 r # marriages"
"398","s1mrct","s1mrct:w1 s # marriages"
"399","s2mrct","s2mrct:w2 s # marriages"
"400","s3mrct","s3mrct:w3 s # marriages"
"401","s4mrct","s4mrct:w4 s # marriages"
"402","s5mrct","s5mrct:w5 s # marriages"
"403","s6mrct","s6mrct:w6 s # marriages"
"404","r1mnev","r1mnev:w1 r never married"
"405","r2mnev","r2mnev:w2 r never married"
"406","r3mnev","r3mnev:w3 r never married"
"407","r4mnev","r4mnev:w4 r never married"
"408","r5mnev","r5mnev:w5 r never married"
"409","r6mnev","r6mnev:w6 r never married"
"410","s1mnev","s1mnev:w1 s never married"
"411","s2mnev","s2mnev:w2 s never married"
"412","s3mnev","s3mnev:w3 s never married"
"413","s4mnev","s4mnev:w4 s never married"
"414","s5mnev","s5mnev:w5 s never married"
"415","s6mnev","s6mnev:w6 s never married"
"416","r1mdiv","r1mdiv:w1 r # times divorced"
"417","r2mdiv","r2mdiv:w2 r # times divorced"
"418","r3mdiv","r3mdiv:w3 r # times divorced"
"419","r4mdiv","r4mdiv:w4 r # times divorced"
"420","r5mdiv","r5mdiv:w5 r # times divorced"
"421","r6mdiv","r6mdiv:w6 r # times divorced"
"422","s1mdiv","s1mdiv:w1 s # times divorced"
"423","s2mdiv","s2mdiv:w2 s # times divorced"
"424","s3mdiv","s3mdiv:w3 s # times divorced"
"425","s4mdiv","s4mdiv:w4 s # times divorced"
"426","s5mdiv","s5mdiv:w5 s # times divorced"
"427","s6mdiv","s6mdiv:w6 s # times divorced"
"428","r1mwid","r1mwid:w1 r # times widowed"
"429","r2mwid","r2mwid:w2 r # times widowed"
"430","r3mwid","r3mwid:w3 r # times widowed"
"431","r4mwid","r4mwid:w4 r # times widowed"
"432","r5mwid","r5mwid:w5 r # times widowed"
"433","r6mwid","r6mwid:w6 r # times widowed"
"434","s1mwid","s1mwid:w1 s # times widowed"
"435","s2mwid","s2mwid:w2 s # times widowed"
"436","s3mwid","s3mwid:w3 s # times widowed"
"437","s4mwid","s4mwid:w4 s # times widowed"
"438","s5mwid","s5mwid:w5 s # times widowed"
"439","s6mwid","s6mwid:w6 s # times widowed"
"440","r1mend","r1mend:w1 r # times unknown end marriage"
"441","r2mend","r2mend:w2 r # times unknown end marriage"
"442","r3mend","r3mend:w3 r # times unknown end marriage"
"443","r4mend","r4mend:w4 r # times unknown end marriage"
"444","r5mend","r5mend:w5 r # times unknown end marriage"
"445","r6mend","r6mend:w6 r # times unknown end marriage"
"446","s1mend","s1mend:w1 s # times unknown end marriage"
"447","s2mend","s2mend:w2 s # times unknown end marriage"
"448","s3mend","s3mend:w3 s # times unknown end marriage"
"449","s4mend","s4mend:w4 s # times unknown end marriage"
"450","s5mend","s5mend:w5 s # times unknown end marriage"
"451","s6mend","s6mend:w6 s # times unknown end marriage"
"452","r1mcurln","r1mcurln:w1 r length of current marriage"
"453","r2mcurln","r2mcurln:w2 r length of current marriage"
"454","r3mcurln","r3mcurln:w3 r length of current marriage"
"455","r4mcurln","r4mcurln:w4 r length of current marriage"
"456","r5mcurln","r5mcurln:w5 r length of current marriage"
"457","r6mcurln","r6mcurln:w6 r length of current marriage"
"458","s1mcurln","s1mcurln:w1 s length of current marriage"
"459","s2mcurln","s2mcurln:w2 s length of current marriage"
"460","s3mcurln","s3mcurln:w3 s length of current marriage"
"461","s4mcurln","s4mcurln:w4 s length of current marriage"
"462","s5mcurln","s5mcurln:w5 s length of current marriage"
"463","s6mcurln","s6mcurln:w6 s length of current marriage"
"464","r1mlen","r1mlen:w1 r length of longest marriage"
"465","r2mlen","r2mlen:w2 r length of longest marriage"
"466","r3mlen","r3mlen:w3 r length of longest marriage"
"467","r4mlen","r4mlen:w4 r length of longest marriage"
"468","r5mlen","r5mlen:w5 r length of longest marriage"
"469","r6mlen","r6mlen:w6 r length of longest marriage"
"470","s1mlen","s1mlen:w1 s length of longest marriage"
"471","s2mlen","s2mlen:w2 s length of longest marriage"
"472","s3mlen","s3mlen:w3 s length of longest marriage"
