name,name_new,include,label
s1mstatf,,,s1mstatf:w1 s mstath-flag diff w/marhist
s2mstatf,,,s2mstatf:w2 s mstath-flag diff w/marhist
s3mstatf,,,s3mstatf:w3 s mstath-flag diff w/marhist
s4mstatf,,,s4mstatf:w4 s mstath-flag diff w/marhist
s5mstatf,,,s5mstatf:w5 s mstath-flag diff w/marhist
s6mstatf,,,s6mstatf:w6 s mstath-flag diff w/marhist
r1mrct,,,r1mrct:w1 r # marriages
r2mrct,,,r2mrct:w2 r # marriages
r3mrct,,,r3mrct:w3 r # marriages
r4mrct,,,r4mrct:w4 r # marriages
r5mrct,,,r5mrct:w5 r # marriages
r6mrct,,,r6mrct:w6 r # marriages
s1mrct,,,s1mrct:w1 s # marriages
s2mrct,,,s2mrct:w2 s # marriages
s3mrct,,,s3mrct:w3 s # marriages
s4mrct,,,s4mrct:w4 s # marriages
s5mrct,,,s5mrct:w5 s # marriages
s6mrct,,,s6mrct:w6 s # marriages
r1mnev,,,r1mnev:w1 r never married
r2mnev,,,r2mnev:w2 r never married
r3mnev,,,r3mnev:w3 r never married
r4mnev,,,r4mnev:w4 r never married
r5mnev,,,r5mnev:w5 r never married
r6mnev,,,r6mnev:w6 r never married
s1mnev,,,s1mnev:w1 s never married
s2mnev,,,s2mnev:w2 s never married
s3mnev,,,s3mnev:w3 s never married
s4mnev,,,s4mnev:w4 s never married
s5mnev,,,s5mnev:w5 s never married
s6mnev,,,s6mnev:w6 s never married
r1mdiv,,,r1mdiv:w1 r # times divorced
r2mdiv,,,r2mdiv:w2 r # times divorced
r3mdiv,,,r3mdiv:w3 r # times divorced
r4mdiv,,,r4mdiv:w4 r # times divorced
r5mdiv,,,r5mdiv:w5 r # times divorced
r6mdiv,,,r6mdiv:w6 r # times divorced
s1mdiv,,,s1mdiv:w1 s # times divorced
s2mdiv,,,s2mdiv:w2 s # times divorced
s3mdiv,,,s3mdiv:w3 s # times divorced
s4mdiv,,,s4mdiv:w4 s # times divorced
s5mdiv,,,s5mdiv:w5 s # times divorced
s6mdiv,,,s6mdiv:w6 s # times divorced
r1mwid,,,r1mwid:w1 r # times widowed
r2mwid,,,r2mwid:w2 r # times widowed
r3mwid,,,r3mwid:w3 r # times widowed
r4mwid,,,r4mwid:w4 r # times widowed
r5mwid,,,r5mwid:w5 r # times widowed
r6mwid,,,r6mwid:w6 r # times widowed
s1mwid,,,s1mwid:w1 s # times widowed
s2mwid,,,s2mwid:w2 s # times widowed
s3mwid,,,s3mwid:w3 s # times widowed
s4mwid,,,s4mwid:w4 s # times widowed
s5mwid,,,s5mwid:w5 s # times widowed
s6mwid,,,s6mwid:w6 s # times widowed
r1mend,,,r1mend:w1 r # times unknown end marriage
r2mend,,,r2mend:w2 r # times unknown end marriage
r3mend,,,r3mend:w3 r # times unknown end marriage
r4mend,,,r4mend:w4 r # times unknown end marriage
r5mend,,,r5mend:w5 r # times unknown end marriage
r6mend,,,r6mend:w6 r # times unknown end marriage
s1mend,,,s1mend:w1 s # times unknown end marriage
s2mend,,,s2mend:w2 s # times unknown end marriage
s3mend,,,s3mend:w3 s # times unknown end marriage
s4mend,,,s4mend:w4 s # times unknown end marriage
s5mend,,,s5mend:w5 s # times unknown end marriage
s6mend,,,s6mend:w6 s # times unknown end marriage
r1mcurln,,,r1mcurln:w1 r length of current marriage
r2mcurln,,,r2mcurln:w2 r length of current marriage
r3mcurln,,,r3mcurln:w3 r length of current marriage
r4mcurln,,,r4mcurln:w4 r length of current marriage
r5mcurln,,,r5mcurln:w5 r length of current marriage
r6mcurln,,,r6mcurln:w6 r length of current marriage
s1mcurln,,,s1mcurln:w1 s length of current marriage
s2mcurln,,,s2mcurln:w2 s length of current marriage
s3mcurln,,,s3mcurln:w3 s length of current marriage
s4mcurln,,,s4mcurln:w4 s length of current marriage
s5mcurln,,,s5mcurln:w5 s length of current marriage
s6mcurln,,,s6mcurln:w6 s length of current marriage
r1mlen,,,r1mlen:w1 r length of longest marriage
r2mlen,,,r2mlen:w2 r length of longest marriage
r3mlen,,,r3mlen:w3 r length of longest marriage
r4mlen,,,r4mlen:w4 r length of longest marriage
r5mlen,,,r5mlen:w5 r length of longest marriage
r6mlen,,,r6mlen:w6 r length of longest marriage
s1mlen,,,s1mlen:w1 s length of longest marriage
s2mlen,,,s2mlen:w2 s length of longest marriage
s3mlen,,,s3mlen:w3 s length of longest marriage
s4mlen,,,s4mlen:w4 s length of longest marriage
s5mlen,,,s5mlen:w5 s length of longest marriage
s6mlen,,,s6mlen:w6 s length of longest marriage
rabplace,,,rabplace: r place of birth
s1bplace,,,s1bplace: s place of birth
s2bplace,,,s2bplace: s place of birth
s3bplace,,,s3bplace: s place of birth
s4bplace,,,s4bplace: s place of birth
s5bplace,,,s5bplace: s place of birth
s6bplace,,,s6bplace: s place of birth
rarelig.e,,,rarelig_e:r religion
s5relig.e,,,s5relig_e:w5 s religion
r1momliv,,,r1momliv:w1 mother alive
r2momliv,,,r2momliv:w2 mother alive
r3momliv,,,r3momliv:w3 mother alive
r4momliv,,,r4momliv:w4 mother alive
r5momliv,,,r5momliv:w5 mother alive
r6momliv,,,r6momliv:w6 mother alive
s1momliv,,,s1momliv:w1 mother alive
s2momliv,,,s2momliv:w2 mother alive
s3momliv,,,s3momliv:w3 mother alive
s4momliv,,,s4momliv:w4 mother alive
s5momliv,,,s5momliv:w5 mother alive
s6momliv,,,s6momliv:w6 mother alive
r1dadliv,,,r1dadliv:w1 father alive
r2dadliv,,,r2dadliv:w2 father alive
r3dadliv,,,r3dadliv:w3 father alive
r4dadliv,,,r4dadliv:w4 father alive
r5dadliv,,,r5dadliv:w5 father alive
r6dadliv,,,r6dadliv:w6 father alive
s1dadliv,,,s1dadliv:w1 father alive
s2dadliv,,,s2dadliv:w2 father alive
s3dadliv,,,s3dadliv:w3 father alive
s4dadliv,,,s4dadliv:w4 father alive
s5dadliv,,,s5dadliv:w5 father alive
s6dadliv,,,s6dadliv:w6 father alive
r1momage,,,r1momage:w1 mother age current/at death
r2momage,,,r2momage:w2 mother age current/at death
r3momage,,,r3momage:w3 mother age current/at death
r4momage,,,r4momage:w4 mother age current/at death
r5momage,,,r5momage:w5 mother age current/at death
r6momage,,,r6momage:w6 mother age current/at death
s1momage,,,s1momage:w1 mother age current/at death
s2momage,,,s2momage:w2 mother age current/at death
s3momage,,,s3momage:w3 mother age current/at death
s4momage,,,s4momage:w4 mother age current/at death
s5momage,,,s5momage:w5 mother age current/at death
s6momage,,,s6momage:w6 mother age current/at death
r1fmomage,,,r1fmomage:w1 flag mother age current/at death
r2fmomage,,,r2fmomage:w2 flag mother age current/at death
r3fmomage,,,r3fmomage:w3 flag mother age current/at death
r4fmomage,,,r4fmomage:w4 flag mother age current/at death
r5fmomage,,,r5fmomage:w5 flag mother age current/at death
r6fmomage,,,r6fmomage:w6 flag mother age current/at death
s1fmomage,,,s1fmomage:w1 flag mother age current/at death
s2fmomage,,,s2fmomage:w2 flag mother age current/at death
s3fmomage,,,s3fmomage:w3 flag mother age current/at death
s4fmomage,,,s4fmomage:w4 flag mother age current/at death
s5fmomage,,,s5fmomage:w5 flag mother age current/at death
s6fmomage,,,s6fmomage:w6 flag mother age current/at death
r1dadage,,,r1dadage:w1 father age current/at death
r2dadage,,,r2dadage:w2 father age current/at death
r3dadage,,,r3dadage:w3 father age current/at death
r4dadage,,,r4dadage:w4 father age current/at death
r5dadage,,,r5dadage:w5 father age current/at death
r6dadage,,,r6dadage:w6 father age current/at death
